,Model,Loss,Accuracy
0,Model_1_EfficientNetB0,15.7591,98.3333
1,Model_1_EfficientNetB0_with_fine-tuning,3.3254,98.3333
2,Model_2_EfficientNetB0_with_augmentation,20.8776,93.3333
3,Model_2_EfficientNetB0_with_augmentation_and_fine-tuning,4.9156,96.6667
4,Model_3_ResNet50v2,23.5187,93.3333
5,Model_3_ResNet50v2_with_fine-tuning,1.017,100.0
6,Model_4_ResNet50v2_with_augmentation,27.7278,91.6667
7,Model_4_ResNet50v2_with_augmentation_with_fine-tuning,13.2407,93.3333
8,Model_5_VGG16,98.5075,55.0
9,Model_5_VGG16_with_fine-tuning,0.0477,100.0
10,Model_6_VGG16_with_augmentation,99.8324,46.6667
11,Model_6_VGG16_with_augmentation_and_fine-tuningn,7.8284,95.0
