,Model,Loss,Accuracy
0,Model_1_EfficientNetB0,17.2858,98.3333
1,Model_1_EfficientNetB0_with_fine-tuning,2.7831,98.3333
2,Model_2_EfficientNetB0_with_augmentation,25.3834,90.0
3,Model_2_EfficientNetB0_with_augmentation_and_fine-tuning,3.8191,98.3333
4,Model_3_ResNet50v2,21.5937,91.6667
5,Model_3_ResNet50v2_with_fine-tuning,1.9331,100.0
6,Model_4_ResNet50v2_with_augmentation,25.0408,90.0
7,Model_4_ResNet50v2_with_augmentation_with_fine-tuning,332.9381,33.3333
8,Model_5_VGG16,98.0392,60.0
9,Model_5_VGG16_with_fine-tuning,6.8035,96.6667
10,Model_6_VGG16_with_augmentation,97.7021,56.6667
11,Model_6_VGG16_with_augmentation_and_fine-tuningn,10.9771,96.6667
12,Model_7_MobileNetV2,28.6544,90.0
13,Model_5_VGG16_with_fine-tuning,11.7347,93.3333
14,Model_8_MobileNetV2_with_augmentation,34.8461,86.6667
15,Model_8_MobileNetV2_with_augmentation_and_fine-tuning,24.0421,90.0
16,Model_4_ResNet50v2_with_augmentation,23.9169,96.6667
17,Model_4_ResNet50v2_with_augmentation_with_fine-tuning,9.0007,96.6667
18,Model_3_ResNet50v2_with_fine-tuning,1.9331,100.0
19,Model_3_ResNet50v2_with_fine-tuning,1.9331,100.0
20,Model_4_ResNet50v2_with_augmentation_with_fine-tuning,400.3147,33.3333
21,Model_4_ResNet50v2_with_augmentation_with_fine-tuning,400.3147,33.3333
